ABIME
AIDER
ALBUM
ALLER
ANGLE
APPEL
APRES
ARRET
ASSIS
AVANT
AVION
BALLE
BANDE
BARBE
BARRE
BILLE
BLANC
BLOND
BOITE
BOITE
BOTTE
BRUIT
CALME
CARRE
CARTE
CASSE
CHAUD
CHOSE
CHUTE
CLAIR
COEUR
COLLE
COLLE
CONTE
CORDE
CORPS
COUDE
COURT
CRAIE
CRIER
DOIGT
DROIT
ECOLE
ECRAN
ELEVE
ENGIN
EPAIS
FAIRE
FAUTE
FESSE
FILET
FILLE
FINIR
FONCE
FORME
FREIN
FROID
FUSEE
FUSIL
GARER
GENER
GENOU
GOMME
GRAND
HABIT
IMAGE
JAMBE
JAUNE
JOUER
JOUET
LACER
LACET
LAINE
LARGE
LAVER
LEVER
LIGNE
LINGE
LISSE
LISTE
LITRE
LIVRE
MAGIE
MAINS
METAL
METRE
MICRO
MIEUX
MOINS
MOYEN
NAGER
NOEUD
OBEIR
OBJET
ONGLE
ORDRE
OUTIL
PAIRE
PANNE
PELLE
PENTE
PERLE
PETIT
PHOTO
PLIER
PLUIE
POCHE
POING
POINT
POMPE
PORTE
POSER
POSER
POUCE
PREAU
PRISE
PUNIR
RADIO
RAMPE
RATER
RAYON
REINE
ROUGE
RUBAN
SABLE
SALIR
SALLE
SALON
SERRE
SIEGE
SIGNE
SIGNE
SINGE
SOURD
SPORT
STYLO
TABLE
TACHE
TALON
TAPER
TAPIS
TASSE
TENIR
TIRER
TISSU
TITRE
TORDU
TRAIN
TRAIT
TRIER
TROIS
TROUS
TUYAU
VENIR
VERRE
VESTE
VIDER
VITRE
VOLER
WAGON
ABSENT
ADROIT
AGITER
AMENER
AMUSER
ANCIEN
ANORAK
AUTANT
AUTOUR
BAGAGE
BALLON
BATEAU
BATTRE
BONDIR
BONNET
BOUDER
BOUGER
BOUTON
BULLES
BUREAU
CABANE
CACHER
CAHIER
CAISSE
CAMION
CANARD
CARNET
CARTON
CARTON
CASIER
CASQUE
CASSER
CHAINE
CHAISE
CHAISE
CLASSE
COGNER
COLERE
COLLER
CONTRE
COPAIN
COPIER
COQUIN
COUDRE
COULER
COUPER
COURIR
COURSE
CRAYON
CUISSE
DANGER
DANSER
DEBOUT
DEBOUT
DEDANS
DEHORS
DESSIN
DESSUS
DEVANT
DOIGTS
DOMINO
DONNER
DORMIR
DOUCHE
DROITE
ECRIRE
EFFORT
ENCORE
ENFANT
ENTRER
ENTRER
EPAULE
EQUIPE
ETROIT
FACILE
FERMER
FEUTRE
FLAQUE
FLECHE
GAGNER
GARAGE
GARCON
GARDER
GAUCHE
GENTIL
GOUTER
GROUPE
HANCHE
HUMIDE
HURLER
IMITER
INTRUS
JALOUX
JAMAIS
JOUEUR
LANCER
LAVABO
LETTRE
MADAME
MAITRE
MANCHE
MARCHE
METTRE
MEUBLE
MILIEU
MODELE
MOITIE
MONTER
MOTEUR
MOUFLE
MOULIN
MOUSSE
MUSCLE
NOMBRE
NUMERO
OUVRIR
OUVRIR
PAPIER
PARDON
PAREIL
PARLER
PARTIE
PARTIR
PARTIR
PATTES
PEDALE
PERCER
PERDRE
PILOTE
PINCER
PLATRE
PLIAGE
POINTU
PORTER
POSTER
POUTRE
PRENOM
PRETER
PRINCE
PRIVER
PROPRE
PUZZLE
PYJAMA
QUATRE
RAMPER
RANGER
RAYURE
RESTER
RETARD
RIDEAU
ROULER
SAUTER
SECHER
SENTIR
SERRER
SERVIR
SIESTE
SOLDAT
SOLIDE
SONNER
SORTIE
SORTIR
SOUPLE
SUIVRE
TAILLE
TAMPON
TENDRE
TIROIR
TOMBER
TRICOT
TROUER
TUNNEL
VALISE
VENTRE
VERSER
VIRAGE
VOLANT
VOYAGE
ZIGZAG
AFFAIRE
AFFICHE
AMPOULE
AMUSANT
APPUYER
APPUYER
ARMOIRE
ARRETER
ARRIERE
ARRIVER
ARROSER
AVANCER
BAGARRE
BAIGNER
BAILLER
BAISSER
BARREAU
BOUCHER
BOUCHON
CABINET
CAGOULE
